tgDataLogger2 started logging at time 01232019_205643, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_OLa9ER).X,0_rod(rod compound_OLa9ER).Y,0_rod(rod compound_OLa9ER).Z,0_rod(rod compound_OLa9ER).Euler1,0_rod(rod compound_OLa9ER).Euler2,0_rod(rod compound_OLa9ER).Euler3,0_rod(rod compound_OLa9ER).mass,1_rod(rod compound_OLa9ER).X,1_rod(rod compound_OLa9ER).Y,1_rod(rod compound_OLa9ER).Z,1_rod(rod compound_OLa9ER).Euler1,1_rod(rod compound_OLa9ER).Euler2,1_rod(rod compound_OLa9ER).Euler3,1_rod(rod compound_OLa9ER).mass,2_rod(rod compound_OLa9ER).X,2_rod(rod compound_OLa9ER).Y,2_rod(rod compound_OLa9ER).Z,2_rod(rod compound_OLa9ER).Euler1,2_rod(rod compound_OLa9ER).Euler2,2_rod(rod compound_OLa9ER).Euler3,2_rod(rod compound_OLa9ER).mass,3_rod(strut compound_OLa9ER).X,3_rod(strut compound_OLa9ER).Y,3_rod(strut compound_OLa9ER).Z,3_rod(strut compound_OLa9ER).Euler1,3_rod(strut compound_OLa9ER).Euler2,3_rod(strut compound_OLa9ER).Euler3,3_rod(strut compound_OLa9ER).mass,4_rod(strut compound_OLa9ER).X,4_rod(strut compound_OLa9ER).Y,4_rod(strut compound_OLa9ER).Z,4_rod(strut compound_OLa9ER).Euler1,4_rod(strut compound_OLa9ER).Euler2,4_rod(strut compound_OLa9ER).Euler3,4_rod(strut compound_OLa9ER).mass,5_rod(strut compound_OLa9ER).X,5_rod(strut compound_OLa9ER).Y,5_rod(strut compound_OLa9ER).Z,5_rod(strut compound_OLa9ER).Euler1,5_rod(strut compound_OLa9ER).Euler2,5_rod(strut compound_OLa9ER).Euler3,5_rod(strut compound_OLa9ER).mass,
3.1,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,11.6226,2.135,2.40775,-1.52051,-0.35126,-0.145244,45.0463,
3.2,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,11.6214,2.135,2.39915,-1.51839,-0.364781,-0.145986,45.0463,
3.3,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,11.6202,2.135,2.39035,-1.5162,-0.378623,-0.146781,45.0463,
3.4,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,11.6189,2.135,2.38134,-1.51393,-0.392796,-0.147634,45.0463,
3.5,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,11.6177,2.135,2.37211,-1.51158,-0.407311,-0.14855,45.0463,
3.6,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,11.6164,2.135,2.36264,-1.50914,-0.422192,-0.149534,45.0463,
3.7,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,11.615,2.135,2.35295,-1.50661,-0.437424,-0.15059,45.0463,
3.8,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,11.6137,2.135,2.34303,-1.50398,-0.453006,-0.151722,45.0463,
3.9,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,11.6123,2.135,2.33291,-1.50125,-0.468917,-0.152935,45.0463,
4,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,11.6109,2.135,2.32257,-1.49842,-0.485157,-0.154235,45.0463,
4.1,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,11.6094,2.135,2.31202,-1.49548,-0.501731,-0.155627,45.0463,
4.2,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,11.608,2.135,2.30125,-1.49243,-0.518638,-0.157119,45.0463,
4.3,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,11.6064,2.135,2.29026,-1.48925,-0.535887,-0.158718,45.0463,
4.4,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,11.6057,2.135,2.28475,-1.48763,-0.544537,-0.159551,45.0463,
